acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
12838_2018,u1qf5t,9.648711683000043,52.412608837000036,2018,4,16,6,0,2,6,1
14553_2018,u1qf5t,9.647838439000054,52.41308594200007,2018,5,14,5,0,2,6,1
14960_2018,u1qf5t,9.652099794000037,52.41532106400008,2018,5,7,4,0,5,3,1
15337_2018,u1qf5t,9.649728216000028,52.41480991700008,2018,5,15,3,0,3,6,1
16011_2018,u1qf5t,9.648291511000023,52.41275942900006,2018,6,6,3,0,5,2,1
16023_2018,u1qf5t,9.646819087000038,52.41358370100005,2018,6,8,5,0,2,6,1
16037_2018,u1qf5t,9.648092897000026,52.41263606300004,2018,6,8,6,0,2,6,1
16067_2018,u1qf5t,9.647511923000023,52.41339837000004,2018,6,9,6,0,2,6,1
18994_2018,u1qf5t,9.647403430000054,52.413455665000065,2018,7,19,1,0,5,3,1
19383_2018,u1qf5t,9.647877071000039,52.413189217000074,2018,8,10,5,0,2,6,1
21258_2018,u1qf5t,9.648231932000044,52.412803222000036,2018,9,11,4,0,2,6,1
22050_2018,u1qf5t,9.648678387000075,52.41263383300002,2018,9,11,1,0,2,6,1
22551_2018,u1qf5t,9.650932634000073,52.41083486000008,2018,10,16,4,0,2,6,1
24009_2018,u1qf5t,9.651881042000072,52.41528154700006,2018,11,9,2,1,2,6,1
24803_2018,u1qf5t,9.65156726300006,52.41545359300005,2018,11,16,6,0,2,6,1
131650_2018,u1qf5t,9.653210778000073,52.41279238200008,2018,4,15,5,1,4,1,1
137339_2018,u1qf5t,9.656813258000057,52.41566243800002,2018,10,15,2,0,9,7,1
10064_2018,u1qcwr,9.771376362000069,52.33502122300007,2018,1,12,3,0,6,4,1
10975_2018,u1qcwr,9.76847282600005,52.33815403900008,2018,2,18,5,1,2,6,1
11522_2018,u1qcwr,9.771203502000047,52.334880382000044,2018,3,6,3,1,2,6,1
12886_2018,u1qcwr,9.768921628000042,52.337946232000036,2018,4,17,3,0,2,5,1
15176_2018,u1qcwr,9.772009890000046,52.334276834000036,2018,5,11,4,0,3,6,1
17926_2018,u1qcwr,9.768534958000032,52.338085954000064,2018,7,18,1,0,5,2,1
18692_2018,u1qcwr,9.768793667000068,52.33809864300008,2018,7,11,2,0,0,7,1
19879_2018,u1qcwr,9.768549205000058,52.33807034300002,2018,8,17,3,0,5,2,1
23478_2018,u1qcwr,9.768614907000028,52.337990105000074,2018,10,10,6,0,6,4,1
25177_2018,u1qcwr,9.768634875000034,52.33826202700003,2018,12,19,6,1,5,2,1
129206_2018,u1qcwr,9.774177252000072,52.33566851600006,2018,1,11,3,0,5,3,1
