acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
130539_2017,u1qfje,9.740628132000039,52.40015240100007,2017,5,7,4,0,5,2,1
134138_2017,u1qfje,9.733931125000025,52.402568289000044,2017,9,13,3,0,0,1,1
135817_2017,u1qfje,9.741594068000039,52.40389121100003,2017,11,7,6,1,0,3,1
8736_2018,u1qfje,9.735877317000076,52.40147878400006,2018,1,2,2,1,6,4,1
11189_2018,u1qfje,9.736007174000065,52.400600484000044,2018,3,5,2,1,1,1,1
11696_2018,u1qfje,9.735252922000027,52.40317594500005,2018,3,19,5,1,6,7,1
12674_2018,u1qfje,9.735393811000053,52.40429669400003,2018,4,12,6,0,3,6,1
14558_2018,u1qfje,9.736177791000047,52.39938620900006,2018,5,17,4,0,2,6,1
15597_2018,u1qfje,9.736058538000066,52.40023493700004,2018,6,11,3,0,4,6,1
16620_2018,u1qfje,9.735833308000053,52.39949139300006,2018,6,16,3,0,2,6,1
17752_2018,u1qfje,9.736174757000072,52.39940781000006,2018,7,8,4,0,5,2,1
18839_2018,u1qfje,9.735830736000024,52.39952523200002,2018,8,12,4,0,2,6,1
19737_2018,u1qfje,9.735585656000069,52.40134492300007,2018,8,21,4,0,6,4,1
21475_2018,u1qfje,9.736068561000023,52.400163607000074,2018,9,14,6,1,7,7,1
22526_2018,u1qfje,9.735237743000027,52.40324983500005,2018,10,13,4,0,6,4,1
22939_2018,u1qfje,9.73561688500007,52.40115949800002,2018,11,11,5,0,2,6,1
23243_2018,u1qfje,9.73572473400003,52.40036547100004,2018,10,10,2,1,2,6,1
130065_2018,u1qfje,9.735504132000074,52.399332075000075,2018,2,16,1,0,2,6,1
132061_2018,u1qfje,9.740175514000043,52.40177436400006,2018,5,17,6,0,2,6,1
135056_2018,u1qfje,9.740694875000033,52.40022112600008,2018,8,11,2,0,5,3,1
79502_2019,u1qfje,9.735543501000052,52.403578588000066,2019,6,18,3,1,3,2,1
79702_2019,u1qfje,9.73617350400002,52.39941672600002,2019,6,15,6,0,0,2,1
